user_type,login,password
admin,admin@cs.put.poznan.pl,admin
teacher,ferdynand.dulski@cs.put.poznan.pl,fKDcUcANnW
teacher,celestyn.tomaszewski@cs.put.poznan.pl,n4JSsTPABP
teacher,sylwester.kaczkowski@cs.put.poznan.pl,aNSzaZGUUX
teacher,juri.rokicki@cs.put.poznan.pl,LUXtC3eWVN
student,pabian.archacki@student.put.poznan.pl,4dtrJgTS6b
student,leo.zelek@student.put.poznan.pl,muybnY2Kwe
student,kwiatoslaw.greger@student.put.poznan.pl,aUVYNenUMw
student,hubert.kiedrowski@student.put.poznan.pl,V5MEztJEbK
student,waldemar.piotrowicz@student.put.poznan.pl,mA7VJb54uN
student,olaf.gursky@student.put.poznan.pl,SMFLFKYRCt
student,hilary.franczak@student.put.poznan.pl,kp8fv6vFAG
student,melchior.perzan@student.put.poznan.pl,q9DhE4W9Ym
student,swietoslaw.kopa@student.put.poznan.pl,yqQtp7As6M
student,marcin.gorniak@student.put.poznan.pl,S54kn7SzVr
student,oskar.kobylinski@student.put.poznan.pl,dZ92UBW8gY
student,tymon.bialek@student.put.poznan.pl,keKcvgzh8B
student,gabriel.orlowski@student.put.poznan.pl,4uK2jZ53Mb
student,pankracy.grodzicki@student.put.poznan.pl,tMUtwYqAPp
student,serwacy.watroba@student.put.poznan.pl,hVryQ8Wn76
student,zygmunt.bilik@student.put.poznan.pl,SZhzmhyPFm
student,aleksander.nabozny@student.put.poznan.pl,P4cvZaXGqt
student,maryn.wyszynski@student.put.poznan.pl,hY3k7bBxpY
student,remigiusz.ciolek@student.put.poznan.pl,dAXqfrcggx
student,cyprian.gracyalny@student.put.poznan.pl,9X3NrepgUA
student,dominik.bernacki@student.put.poznan.pl,rsM4MbHvjD
student,szymon.rogalski@student.put.poznan.pl,7ctWnxazhx
student,ignacy.smigel@student.put.poznan.pl,tkdVNxxrqh
student,ireneusz.dziak@student.put.poznan.pl,JdmdXcxzX9
student,wislaw.gielgud@student.put.poznan.pl,6UtqVg4eup
student,korneli.krynicki@student.put.poznan.pl,Bc8B9n2eAk
student,swietoslaw.lozowski@student.put.poznan.pl,9sUtuWMVEE
student,bartlomiej.lach@student.put.poznan.pl,bruuwzn9cV
